rank,band_index,band_name,mean_jm,min_jm,n_pairs,n_classes_used
1,71,hallcover_amp,1.235603,0.0,136,17
2,78,hallheigth_amp,1.137989,0.0,136,17
3,94,ndvi_median_wet,1.081075,0.000303,136,17
4,92,ndvi_median,1.052787,0.001702,136,17
5,38,gcvi_median,1.035804,0.001979,136,17
6,133,savi_max,1.025612,0.004266,136,17
7,23,evi2_max,1.017007,0.002611,136,17
8,62,gvs_median_wet,0.996198,0.004,136,17
9,136,savi_median_wet,0.996064,0.002197,136,17
10,40,gcvi_median_wet,0.986661,0.031315,136,17
11,26,evi2_median_wet,0.984133,0.002486,136,17
12,60,gvs_median,0.946945,0.002585,136,17
13,134,savi_median,0.930035,0.021851,136,17
14,55,gv_median_wet,0.921404,0.0056,136,17
15,24,evi2_median,0.920489,0.021101,136,17
16,85,ndfi_median_wet,0.915295,0.000712,136,17
17,14,cai_stdDev,0.90985,0.00374,136,17
18,129,red_median_wet,0.906566,0.013615,136,17
19,16,cloud_median,0.900043,0.002686,136,17
20,45,green_median,0.89799,0.000102,136,17
21,125,pri_stdDev,0.896689,0.000454,136,17
22,47,green_median_wet,0.893626,0.003891,136,17
23,91,ndvi_max,0.892449,0.000917,136,17
24,2,blue_median,0.887669,0.002301,136,17
25,52,gv_max,0.881236,0.006306,136,17
26,39,gcvi_median_dry,0.878262,0.000141,136,17
27,101,ndwi_median_wet,0.876208,0.001415,136,17
28,17,cloud_median_dry,0.876038,0.002016,136,17
29,83,ndfi_median,0.874288,0.005156,136,17
30,53,gv_median,0.867246,0.006853,136,17
31,127,red_median,0.867141,0.011015,136,17
32,4,blue_median_wet,0.862805,0.005699,136,17
33,3,blue_median_dry,0.861222,0.000385,136,17
34,93,ndvi_median_dry,0.854656,0.003333,136,17
35,11,cai_median_wet,0.853144,0.002512,136,17
36,18,cloud_median_wet,0.847872,0.002771,136,17
37,143,sefi_median_wet,0.845248,0.001,136,17
38,97,ndvi_stdDev,0.842644,0.000955,136,17
39,46,green_median_dry,0.839921,0.004199,136,17
40,180,wefi_median_wet,0.839722,0.007268,136,17
